time,condition_type,condition_value,area_bin,frequency
day1,temperature,24,550,0.0120280654861343
day1,temperature,24,650,0.0126962913464751
day1,temperature,24,750,0.0110257266956231
day1,temperature,24,850,0.0110257266956231
day1,temperature,24,950,0.0093551620447711
day1,temperature,24,1050,0.0110257266956231
day1,temperature,24,1150,0.017707985299031
day1,temperature,24,1250,0.016037420648179
day1,temperature,24,1350,0.0287337119946541
day1,temperature,24,1450,0.043768793852322
day1,temperature,24,1550,0.0564650851987971
day1,temperature,24,1650,0.0708319411961242
day1,temperature,24,1750,0.0888740394253257
day1,temperature,24,1850,0.0862011359839625
day1,temperature,24,1950,0.1045773471433344
day1,temperature,24,2050,0.0845305713331106
day1,temperature,24,2150,0.0725025058469762
day1,temperature,24,2250,0.0668225860340795
day1,temperature,24,2350,0.0547945205479452
day1,temperature,24,2450,0.0354159705980621
day1,temperature,24,2550,0.0380888740394253
day1,temperature,24,2650,0.0217173404610758
day1,temperature,24,2750,0.0153691947878382
day1,temperature,24,2850,0.0086869361844303
day1,temperature,24,2950,0.0050116939525559
day1,temperature,24,3050,0.0056799198128967
day1,temperature,24,3150,0.0043434680922151
day1,temperature,24,3250,0.0043434680922151
day1,temperature,24,3350,0.0013364517206815
day1,temperature,24,3450,0.0010023387905111
day2,temperature,24,550,0.0122018857459789
day2,temperature,24,650,0.0157145498243667
day2,temperature,24,750,0.0134960251432797
day2,temperature,24,850,0.0138657792567942
day2,temperature,24,950,0.0105379922351636
day2,temperature,24,1050,0.0131262710297652
day2,temperature,24,1150,0.0205213533000554
day2,temperature,24,1250,0.0345720096136069
day2,temperature,24,1350,0.0456646330190423
day2,temperature,24,1450,0.0665557404326123
day2,temperature,24,1550,0.0819005361434646
day2,temperature,24,1650,0.0915141430948419
day2,temperature,24,1750,0.088001479016454
day2,temperature,24,1850,0.0955814383435015
day2,temperature,24,1950,0.0765391014975041
day2,temperature,24,2050,0.0724718062488445
day2,temperature,24,2150,0.0573118875947494
day2,temperature,24,2250,0.0495470512109447
day2,temperature,24,2350,0.0384544278055093
day2,temperature,24,2450,0.0290256979108892
day2,temperature,24,2550,0.0195969680162691
day2,temperature,24,2650,0.0170086892216675
day2,temperature,24,2750,0.0083194675540765
day2,temperature,24,2850,0.0097984840081345
day2,temperature,24,2950,0.0062858199297467
day2,temperature,24,3050,0.0035126640783878
day2,temperature,24,3150,0.0036975411351451
day2,temperature,24,3250,0.0029580329081161
day2,temperature,24,3350,0.0011092623405435
day2,temperature,24,3450,0.0011092623405435
day3,temperature,24,550,0.0127269324349616
day3,temperature,24,650,0.0146921205315365
day3,temperature,24,750,0.0167508890136627
day3,temperature,24,850,0.0212427475201197
day3,temperature,24,950,0.020868425977915
day3,temperature,24,1050,0.0222721317611828
day3,temperature,24,1150,0.0358412876661051
day3,temperature,24,1250,0.0535279805352798
day3,temperature,24,1350,0.0692494853078794
day3,temperature,24,1450,0.0865618566348493
day3,temperature,24,1550,0.103780647576268
day3,temperature,24,1650,0.1053715141306382
day3,temperature,24,1750,0.1015347183230395
day3,temperature,24,1850,0.0868425977915029
day3,temperature,24,1950,0.0717761557177615
day3,temperature,24,2050,0.0510013101253977
day3,temperature,24,2150,0.0354669661239004
day3,temperature,24,2250,0.028822758749766
day3,temperature,24,2350,0.0173123713269698
day3,temperature,24,2450,0.0123526108927568
day3,temperature,24,2550,0.0083286543140557
day3,temperature,24,2650,0.0081414935429533
day3,temperature,24,2750,0.0035560546509451
day3,temperature,24,2850,0.0033688938798427
day3,temperature,24,2950,0.002994572337638
day3,temperature,24,3050,0.0017780273254725
day3,temperature,24,3150,0.0012165450121654
day3,temperature,24,3250,0.001029384241063
day3,temperature,24,3350,0.001029384241063
day3,temperature,24,3450,0.0005614823133071
day4,temperature,24,550,0.0171391752577319
day4,temperature,24,650,0.0216494845360824
day4,temperature,24,750,0.0220360824742268
day4,temperature,24,850,0.0251288659793814
day4,temperature,24,950,0.0273195876288659
day4,temperature,24,1050,0.028221649484536
day4,temperature,24,1150,0.0411082474226804
day4,temperature,24,1250,0.0592783505154639
day4,temperature,24,1350,0.0721649484536082
day4,temperature,24,1450,0.0809278350515464
day4,temperature,24,1550,0.0877577319587628
day4,temperature,24,1650,0.0827319587628866
day4,temperature,24,1750,0.0847938144329897
day4,temperature,24,1850,0.0661082474226804
day4,temperature,24,1950,0.0646907216494845
day4,temperature,24,2050,0.0574742268041237
day4,temperature,24,2150,0.0429123711340206
day4,temperature,24,2250,0.0291237113402061
day4,temperature,24,2350,0.0221649484536082
day4,temperature,24,2450,0.019201030927835
day4,temperature,24,2550,0.0144329896907216
day4,temperature,24,2650,0.0088917525773195
day4,temperature,24,2750,0.0069587628865979
day4,temperature,24,2850,0.0065721649484536
day4,temperature,24,2950,0.0033505154639175
day4,temperature,24,3050,0.0025773195876288
day4,temperature,24,3150,0.0016752577319587
day4,temperature,24,3250,0.0011597938144329
day4,temperature,24,3350,0.0012886597938144
day4,temperature,24,3450,0.0011597938144329
day5,temperature,24,550,0.0111070313934275
day5,temperature,24,650,0.0141362217734532
day5,temperature,24,750,0.0156049201395263
day5,temperature,24,850,0.0221222691389755
day5,temperature,24,950,0.0311180466311731
day5,temperature,24,1050,0.0492931889113273
day5,temperature,24,1150,0.0681108867266385
day5,temperature,24,1250,0.0800440609509822
day5,temperature,24,1350,0.1050119331742243
day5,temperature,24,1450,0.1001468698366073
day5,temperature,24,1550,0.0984027905268955
day5,temperature,24,1650,0.0841747751055626
day5,temperature,24,1750,0.0751789976133651
day5,temperature,24,1850,0.0591151092344409
day5,temperature,24,1950,0.049568569854966
day5,temperature,24,2050,0.0395630622360932
day5,temperature,24,2150,0.0273545070681108
day5,temperature,24,2250,0.022030475491096
day5,temperature,24,2350,0.0143198090692124
day5,temperature,24,2450,0.0090875711400771
day5,temperature,24,2550,0.0073434918303653
day5,temperature,24,2650,0.0043143014503396
day5,temperature,24,2750,0.0033963649715439
day5,temperature,24,2850,0.0028456030842665
day5,temperature,24,2950,0.0018358729575913
day5,temperature,24,3050,0.0017440793097117
day5,temperature,24,3150,0.0008261428309161
day5,temperature,24,3250,0.0007343491830365
day5,temperature,24,3350,0.0011933174224343
day5,temperature,24,3450,0.0002753809436387
day6,temperature,24,550,0.0102567214905626
day6,temperature,24,650,0.0126843478788614
day6,temperature,24,750,0.013412635795351
day6,temperature,24,850,0.0211810402379073
day6,temperature,24,950,0.0297991139163682
day6,temperature,24,1050,0.051283607452813
day6,temperature,24,1150,0.0797475268556169
day6,temperature,24,1250,0.101535473690599
day6,temperature,24,1350,0.115069490805365
day6,temperature,24,1450,0.1179219518116161
day6,temperature,24,1550,0.1017782363294289
day6,temperature,24,1650,0.0883049098743703
day6,temperature,24,1750,0.0710687625174485
day6,temperature,24,1850,0.0563816228682405
