time,condition_type,condition_value,area_bin,frequency
day1,temperature,22,550,0.008268733850129198
day1,temperature,22,650,0.005943152454780362
day1,temperature,22,750,0.011627906976744186
day1,temperature,22,850,0.012403100775193798
day1,temperature,22,950,0.011111111111111112
day1,temperature,22,1050,0.014470284237726097
day1,temperature,22,1150,0.013695090439276485
day1,temperature,22,1250,0.016795865633074936
day1,temperature,22,1350,0.031007751937984496
day1,temperature,22,1450,0.047286821705426356
day1,temperature,22,1550,0.06563307493540052
day1,temperature,22,1650,0.079328165374677
day1,temperature,22,1750,0.09198966408268734
day1,temperature,22,1850,0.09612403100775194
day1,temperature,22,1950,0.09922480620155039
day1,temperature,22,2050,0.08320413436692506
day1,temperature,22,2150,0.07080103359173126
day1,temperature,22,2250,0.06459948320413436
day1,temperature,22,2350,0.05581395348837209
day1,temperature,22,2450,0.03540051679586563
day1,temperature,22,2550,0.023255813953488372
day1,temperature,22,2650,0.019896640826873386
day1,temperature,22,2750,0.013695090439276485
day1,temperature,22,2850,0.007493540051679587
day1,temperature,22,2950,0.005943152454780362
day1,temperature,22,3050,0.004134366925064599
day1,temperature,22,3150,0.0036175710594315244
day1,temperature,22,3250,0.004134366925064599
day1,temperature,22,3350,0.002325581395348837
day1,temperature,22,3450,0.0007751937984496124
day1,temperature,24,550,0.012028065486134313
day1,temperature,24,650,0.01269629134647511
day1,temperature,24,750,0.011025726695623121
day1,temperature,24,850,0.011025726695623121
day1,temperature,24,950,0.009355162044771133
day1,temperature,24,1050,0.011025726695623121
day1,temperature,24,1150,0.017707985299031073
day1,temperature,24,1250,0.016037420648179083
day1,temperature,24,1350,0.028733711994654194
day1,temperature,24,1450,0.04376879385232209
day1,temperature,24,1550,0.05646508519879719
day1,temperature,24,1650,0.07083194119612429
day1,temperature,24,1750,0.08887403942532576
day1,temperature,24,1850,0.08620113598396258
day1,temperature,24,1950,0.10457734714333444
day1,temperature,24,2050,0.0845305713331106
day1,temperature,24,2150,0.07250250584697628
day1,temperature,24,2250,0.06682258603407952
day1,temperature,24,2350,0.0547945205479452
day1,temperature,24,2450,0.035415970598062146
day1,temperature,24,2550,0.038088874039425326
day1,temperature,24,2650,0.021717340461075842
day1,temperature,24,2750,0.015369194787838289
day1,temperature,24,2850,0.008686936184430337
day1,temperature,24,2950,0.005011693952555964
day1,temperature,24,3050,0.005679919812896759
day1,temperature,24,3150,0.004343468092215168
day1,temperature,24,3250,0.004343468092215168
day1,temperature,24,3350,0.0013364517206815904
day1,temperature,24,3450,0.0010023387905111927
