sequence,image,label,area,perimeter,aspect_ratio,max_diameter,circularity
1,19058_mask.png,1,963.0,120.2253967444162,1.3076517675827442,39.44616584663204,0.8372279401988835
2,19058_mask.png,2,1282.0,134.22539674441617,1.1361750099612702,43.01162633521314,0.8941872983292292
3,19058_mask.png,3,1342.0,135.63961030678928,1.0717428559777564,42.80186911806539,0.9166199664180114
4,19058_mask.png,4,2245.0,183.4386001800126,1.4399531691634893,63.788713735268246,0.8383874219176946
5,19058_mask.png,5,1559.0,147.05382386916236,1.061705284949561,46.04345773288535,0.9059481347072176
6,19058_mask.png,6,2097.0,168.71067811865476,1.0410595112561678,53.2634959423431,0.9258127392523136
7,19058_mask.png,7,1392.0,140.46803743153546,1.2956467083312608,47.16990566028302,0.8865312928721796
8,19058_mask.png,8,2041.0,166.8528137423857,1.0793612638563346,52.92447448959697,0.921267602804509
9,19058_mask.png,9,1375.0,136.46803743153546,1.1189187844532802,44.654227123532216,0.9277921001361856
10,19058_mask.png,10,1398.0,137.63961030678928,1.058446086910412,43.01162633521314,0.9273211534267202
11,19058_mask.png,11,1490.0,143.29646455628165,1.2232820866682632,47.80167361086848,0.9118537351426896
12,19058_mask.png,12,1262.0,130.22539674441617,1.020776466457468,40.52159917870962,0.9351425977148548
13,19058_mask.png,13,2307.0,177.09545442950497,1.0440812171907623,55.10898293381942,0.9243631635628902
14,19058_mask.png,14,1171.0,126.5685424949238,1.2833465672504707,43.93176527297759,0.9185762260169484
15,19058_mask.png,15,1997.0,164.95331880577405,1.0489920272120006,52.20153254455275,0.9222864183456566
16,19058_mask.png,16,2173.0,171.19595949289334,1.1031729381740405,55.44366510251645,0.9317138890290644
17,19058_mask.png,17,1141.0,126.22539674441616,1.0757844796770026,39.698866482558415,0.8999160957451301
18,19058_mask.png,18,1737.0,156.36753236814712,1.0969036987401233,48.75448697299562,0.8927225748776229
19,19058_mask.png,19,1818.0,156.95331880577405,1.0712002400854437,49.8196748283246,0.9273906994799516
20,19058_mask.png,20,1638.0,150.12489168102786,1.233486939620221,50.60632371551998,0.9133102828271978
21,19058_mask.png,21,2629.0,190.50966799187808,1.0354135945407357,59.81638571495272,0.9102619933880324
22,19058_mask.png,22,1212.0,130.22539674441617,1.2123543148100735,42.20189569201838,0.8980925740336005
23,19058_mask.png,23,1588.0,145.88225099390857,1.0672325548349004,46.09772228646444,0.9376817213969671
24,19058_mask.png,24,1838.0,156.95331880577402,1.0017634638086517,48.75448697299562,0.9375930174060236
25,19058_mask.png,25,1321.0,133.63961030678928,1.0647410889612623,42.20189569201838,0.9294847752197898
26,19058_mask.png,26,1134.0,124.22539674441616,1.0855199234366557,39.20459156782532,0.9234260750477948
27,19058_mask.png,27,2192.0,172.8528137423857,1.0435053212864598,53.85164807134504,0.921929064924869
28,19058_mask.png,28,1320.0,134.46803743153546,1.062215613742146,42.44997055358225,0.9173723844694224
29,19058_mask.png,29,1759.0,155.19595949289334,1.039172146448894,48.25971404805462,0.9177299032223816
30,19058_mask.png,30,1321.0,133.63961030678928,1.0606009684506117,42.72001872658765,0.9294847752197898
31,19058_mask.png,31,1299.0,131.39696961967,1.0472122053681905,41.48493702538308,0.9454712264757216
32,19058_mask.png,32,1433.0,138.22539674441617,1.0298009858837534,43.9089968002003,0.9424978411668372
33,19058_mask.png,33,1617.0,148.12489168102786,1.0771148662596215,47.07440918375928,0.9261125988507648
34,19058_mask.png,34,1814.0,157.53910524340094,1.0192954030496677,48.60041152089147,0.9184814672055204
35,19058_mask.png,35,1868.0,163.4386001800126,1.05994869678372,50.80354318352215,0.878774543950012
36,19058_mask.png,36,1608.0,149.78174593052023,1.1148563915617862,48.16637831516918,0.9006957866502585
37,19058_mask.png,37,1334.0,134.46803743153546,1.0897569942647352,42.63801121065568,0.9271020915774314
38,19058_mask.png,38,1635.0,151.53910524340094,1.201710100457271,50.80354318352215,0.8947015376399841
39,19058_mask.png,39,1532.0,145.53910524340094,1.0864351282066096,45.89117562233506,0.9088856113240656
40,19058_mask.png,40,1542.0,144.8111831820431,1.150332367061348,47.50789408087881,0.9240384305633508
41,19058_mask.png,41,1426.0,140.46803743153546,1.0854190396809944,45.27692569068709,0.9081850744509542
42,19058_mask.png,42,907.0,110.08326112068522,1.0699930370351092,35.0,0.9405341688169312
43,19058_mask.png,43,1932.0,162.36753236814712,1.0762948253927,51.22499389946279,0.9209130033832502
