time,condition_value,mu
day2,1,0.715961858
day2,2,0.742744122
day2,3,0.74893854
day2,4,0.768370602
day2,5,0.839750655
day2,6,0.771928058
day3,1,0.737271985
day3,2,0.559615788
day3,3,0.886390786
day3,4,0.718193212
day3,5,0.726669873
day3,6,0.844045825
day4,1,0.570857603
day4,2,0.296856449
day4,3,0.79914647
day4,4,0.616044787
day4,5,0.722030055
day4,6,0.866196787
day5,1,0.359719086
day5,2,0.302131963
day5,3,0.453159982
day5,4,0.41685043
day5,5,0.514378025
day5,6,0.42356515
day6,1,0.107485915
day6,2,0.284512498
day6,3,0.167756332
day6,4,0.33377318
day6,5,0.105892289
day6,6,0.017778246
day7,1,-0.025807884
day7,2,0.363319487
day7,3,-0.076189138
day7,4,0.142500063
day7,5,0.05582845
day7,6,-0.136682987
day1,22,0.405465108
day1,24,0.810930216
day1,26,1.037987667
day1,28,0.737598943
day1,30,1.312186389
day2,22,0.725937003
day2,24,0.773189888
day2,26,0.672093771
day2,28,0.815749503
day2,30,0.730887509
day3,22,0.814508038
day3,24,0.802346473
day3,26,0.813291492
day3,28,0.844546827
day3,30,0.823200309
day4,22,0.700264648
day4,24,0.663990596
day4,26,0.774640215
day4,28,0.737598943
day4,30,0.854242333
day5,22,0.349557476
day5,24,0.519075523
day5,26,0.52806743
day5,28,0.580292691
day5,30,0.610216801
day6,22,0.58221562
day6,24,0.490910314
day6,26,0.47957308
day6,28,0.440251224
day6,30,0.291434422
20250322,0,0.187211542
20250323,0,0.881547783
20250324,0,0.834225779
20250325,0,1.116004031
20250326,0,0.732588913
20250327,0,0.118396721
20250328,0,0.616057099
20250329,0,0.449765367
20250330,0,0.693147181
20250331,0,-0.016807118
20250411,C,0.949080555
20250411,D,0.800392711
20250412,C,0.896746136
20250412,D,0.885307186
20250413,C,0.918918854
20250413,D,1.060602963
20250414,C,0.652981139
20250414,D,0.676052747
20250415,A,0.521149507
20250416,A,0.54117278
20250417,A,0.317662905
20250418,A,0.279739219
20250419,A,0.117251262
20250420,A,0.08754315
20250421,A,0.178089091
20250422,0,0.855116509
20250423,5PM_#1,0.934982865
20250423,5PM_#3,0.923953605
20250423,5PM_#4,0.88013075
20250424,5PM_#1,0.824825005
20250424,5PM_#3,0.999733408
20250424,5PM_#4,1.009484509
20250425,5PM_#1,0.531391901
20250425,5PM_#3,0.577118224
20250425,5PM_#4,0.60767545
20250426,5PM_#1,0.33155285
20250426,5PM_#3,0.452367423
20250426,5PM_#4,0.42073258
20250427,5PM_#1,0.085297581
20250427,5PM_#3,0.089516598
20250427,5PM_#4,0.136682987
20250428,9PM_#1,-0.071691928
20250428,9PM_#3,0.036039936
20250428,9PM_#4,-0.026787316
