date_group,specific_date,full_path,image_count
20250321,20250322,20250321\20250322\images,180
20250321,20250323,20250321\20250323\images,149
20250321,20250324,20250321\20250324\images,203
20250321,20250325,20250321\20250325\images,213
20250321,20250326,20250321\20250326\images,149
20250321,20250327,20250321\20250327\images,149
20250321,20250328,20250321\20250328\images,186
20250321,20250329,20250321\20250329\images,237
20250321,20250330,20250321\20250330\images,154
20250321,20250331,20250321\20250331\images,223
20250410,20250411,20250410\20250411\C\images,220
20250410,20250411,20250410\20250411\D\images,225
20250410,20250412,20250410\20250412\C\images,218
20250410,20250412,20250410\20250412\D\images,215
20250410,20250413,20250410\20250413\C\images,266
20250410,20250413,20250410\20250413\D\images,314
20250410,20250414,20250410\20250414\C\images,279
20250410,20250414,20250410\20250414\D\images,298
20250414,20250415,20250414\20250415\A\images,293
20250414,20250416,20250414\20250416\A\images,269
20250414,20250417,20250414\20250417\A\images,268
20250414,20250418,20250414\20250418\A\images,260
20250414,20250419,20250414\20250419\A\images,276
20250414,20250420,20250414\20250420\A\images,264
20250414,20250421,20250414\20250421\A\images,266
20250421,20250422,20250421\20250422\images,304
20250421,20250423 5PM,20250421\20250423 5PM\#1\images,224
20250421,20250423 5PM,20250421\20250423 5PM\#2\images,244
20250421,20250423 5PM,20250421\20250423 5PM\#3\images,252
20250421,20250423 5PM,20250421\20250423 5PM\#4\images,240
20250421,20250424 5PM,20250421\20250424 5PM\#1\images,230
20250421,20250424 5PM,20250421\20250424 5PM\#2\images,238
20250421,20250424 5PM,20250421\20250424 5PM\#3\images,259
20250421,20250424 5PM,20250421\20250424 5PM\#4\images,256
20250421,20250425 5PM,20250421\20250425 5PM\#1\images,225
20250421,20250425 5PM,20250421\20250425 5PM\#2\images,198
20250421,20250425 5PM,20250421\20250425 5PM\#3\images,206
20250421,20250425 5PM,20250421\20250425 5PM\#4\images,246
20250421,20250426 5PM,20250421\20250426 5PM\#1\images,211
20250421,20250426 5PM,20250421\20250426 5PM\#3\images,242
20250421,20250426 5PM,20250421\20250426 5PM\#4\images,214
20250421,20250427 5PM,20250421\20250427 5PM\#1\images,298
20250421,20250427 5PM,20250421\20250427 5PM\#3\images,298
20250421,20250427 5PM,20250421\20250427 5PM\#4\images,298
20250421,20250428 9AM,20250421\20250428 9AM\#1\images,298
20250421,20250428 9AM,20250421\20250428 9AM\#3\images,298
20250421,20250428 9AM,20250421\20250428 9AM\#4\images,298
