sequence,image,label,area,perimeter,aspect_ratio,max_diameter,circularity
1,37292_mask.png,1,1599.0,148.12489168102786,1.1668385764353897,48.507731342539614,0.9158033676947266
2,37292_mask.png,2,1630.0,149.78174593052023,1.2618516831437154,50.60632371551998,0.9130187389551748
3,37292_mask.png,3,1120.0,123.9827560572969,1.0834172245820468,38.63935817272331,0.9155990096883094
4,37292_mask.png,4,1390.0,137.29646455628165,1.1767720342902617,44.91102314577124,0.9266291455060436
5,37292_mask.png,5,1830.0,159.8528137423857,1.2792963740588843,53.823786563191554,0.8999541488467748
6,37292_mask.png,6,1322.0,134.22539674441617,1.170476203107923,43.93176527297759,0.922087058027489
7,37292_mask.png,7,1442.0,144.71067811865476,1.3611802695368278,50.00999900019995,0.865314471918108
8,37292_mask.png,8,1420.0,140.12489168102783,1.270164930247316,47.43416490252569,0.908798556671612
9,37292_mask.png,9,2205.0,173.4386001800126,1.0623715948909305,55.36244214266564,0.9211427503818984
10,37292_mask.png,10,1665.0,150.71067811865476,1.0520698501852737,47.07440918375928,0.9211620847314836
11,37292_mask.png,11,3022.0,203.82337649086284,1.0531819106462093,63.60031446463138,0.9141055390165964
12,37292_mask.png,12,1862.0,158.95331880577402,1.1580354681771166,51.78802950489621,0.92608391398475
13,37292_mask.png,13,1521.0,144.46803743153546,1.159651015062359,46.52956049652737,0.9157892305371336
14,37292_mask.png,14,1193.0,127.15432893255073,1.1663791568189006,42.05948168962618,0.92723113747859
15,37292_mask.png,15,1716.0,153.1959594928933,1.0933031304379115,49.16299421312742,0.9188244122904676
16,37292_mask.png,16,1461.0,141.53910524340094,1.0415028664010535,44.181444068749045,0.916446650556687
17,37292_mask.png,17,1546.0,144.95331880577405,1.1549375312073278,47.8539444560216,0.9246194546316406
18,37292_mask.png,18,1960.0,162.61017305526644,1.0538694678148304,50.80354318352215,0.9314735159592372
19,37292_mask.png,19,1765.0,153.53910524340094,1.0898017565811071,48.76474136094644,0.9408417107640764
20,37292_mask.png,20,2264.0,176.2670273047588,1.0213749459831956,54.405882034941776,0.9156808377733796
21,37292_mask.png,21,1860.0,159.78174593052023,1.207347261780394,53.150729063673246,0.9155213647003392
22,37292_mask.png,22,2354.0,179.43860018001263,1.0706121617326023,56.64803615307419,0.9187229753449222
23,37292_mask.png,23,1658.0,149.53910524340094,1.0286526468278374,46.389654018972806,0.9317187486653896
24,37292_mask.png,24,2114.0,171.3380951166243,1.2778563484373462,57.4543296888929,0.9049133149810332
25,37292_mask.png,25,1607.0,149.19595949289334,1.2423045701290851,49.678969393496885,0.907217913932398
26,37292_mask.png,26,1814.0,159.43860018001263,1.1232281489513989,50.44799302251776,0.8967269069126308
27,37292_mask.png,27,1719.0,154.95331880577402,1.1107808607687166,49.49747468305833,0.8996715265503663
28,37292_mask.png,28,1540.0,143.88225099390857,1.0883380732406711,45.89117562233506,0.9347944766618332
29,37292_mask.png,29,2325.0,177.68124086713186,1.0808716520049286,56.08921464952064,0.925442977442982
30,37292_mask.png,30,1731.0,153.1959594928933,1.1169042150808584,48.82622246293481,0.9268560942160834
31,37292_mask.png,31,1380.0,137.39696961967,1.2056768351418357,45.35416188179427,0.918617346510612
32,37292_mask.png,32,1668.0,152.36753236814715,1.1016393797794692,48.83646178829912,0.9028613087221858
33,37292_mask.png,33,1866.0,162.02438661763952,1.358545427368725,55.97320787662612,0.8932247153938637
34,37292_mask.png,34,1539.0,144.36753236814712,1.0302512936307695,44.654227123532216,0.9279176110303502
35,37292_mask.png,35,1611.0,147.78174593052023,1.1410921450041247,47.70744176750625,0.926966028113368
36,37292_mask.png,36,1965.0,163.53910524340094,1.1438440431890229,53.36665625650534,0.9232709778098424
37,37292_mask.png,37,602.0,91.01219330881976,1.1676682877773372,29.410882339705484,0.9132868281828684
38,37292_mask.png,38,2092.0,170.36753236814712,1.0590296715101886,54.08326913195984,0.9057281756470604
39,37292_mask.png,39,1690.0,153.29646455628165,1.080870017209732,49.39635614091387,0.9037166646051578
40,37292_mask.png,40,1469.0,142.71067811865476,1.0533803288964372,44.94441010848846,0.90639754434798
41,37292_mask.png,41,1251.0,130.22539674441617,1.1465735601598843,42.43819034784589,0.9269915925049788
42,37292_mask.png,42,2762.0,216.6934341759517,1.5538413308347796,79.40403012442127,0.739166087546262
43,37292_mask.png,43,2887.0,197.9238815542512,1.1127970268240486,64.5600495662759,0.926105042691051
44,37292_mask.png,44,1404.0,141.53910524340094,1.2906490632320142,48.54894437575342,0.8806920584405123
