sequence,image,label,area,perimeter,aspect_ratio,max_diameter,circularity
1,42122_mask.png,1,1958.0,163.53910524340094,1.0866146844994018,52.009614495783374,0.9199819717820212
2,42122_mask.png,2,914.0,110.66904755831212,1.174787406444714,36.40054944640259,0.9377859355005282
3,42122_mask.png,3,1872.0,159.43860018001263,1.0397191658202578,49.8196748283246,0.9253984397687128
4,42122_mask.png,4,1930.0,161.78174593052023,1.063202371889366,51.26402247190519,0.926633799088314
5,42122_mask.png,5,2717.0,192.99494936611663,1.0440266941591765,60.166435825965294,0.9166585949345514
6,42122_mask.png,6,1403.0,139.53910524340094,1.2192824326491252,46.57252408878007,0.9054733389625284
7,42122_mask.png,7,2291.0,176.2670273047588,1.0207499456149578,54.70831746635972,0.9266010597786274
8,42122_mask.png,8,2952.0,200.4091629284897,1.0158152933204736,61.98386886924694,0.9236151947012616
9,42122_mask.png,9,1899.0,159.78174593052023,1.0258339046535323,49.64876634922564,0.934717780411798
10,42122_mask.png,10,2157.0,171.92388155425115,1.1191464395602844,55.10898293381942,0.917038552014072
11,42122_mask.png,11,1593.0,148.12489168102786,1.0731210233593969,46.86149805543992,0.9123669573093804
12,42122_mask.png,12,2419.0,181.3380951166243,1.0385456580656534,57.28001396647874,0.924416383107487
13,42122_mask.png,13,1874.0,162.02438661763955,1.1302895138987796,52.15361924162119,0.8970541889861201
14,42122_mask.png,14,716.0,104.08326112068524,1.1065477011557354,34.9857113690718,0.8305410532749115
15,42122_mask.png,15,2382.0,180.8528137423857,1.0560768684489938,57.0087712549569,0.9151685376336312
16,42122_mask.png,16,1986.0,165.19595949289334,1.053494697744736,51.66236541235796,0.9145138069518048
17,42122_mask.png,17,999.0,120.49747468305831,1.119773385449106,39.20459156782532,0.86460842203904
18,42122_mask.png,18,2817.0,195.33809511662423,1.0428162355902986,61.032778078668514,0.927732592978604
19,42122_mask.png,19,3129.0,206.89444430272837,1.0304476649564416,64.03124237432849,0.9185816586119436
