sequence,image,label,area,perimeter,aspect_ratio,max_diameter,circularity
1,54796_mask.png,1,992.0,115.49747468305831,1.0971710634682117,37.8021163428716,0.9344940896117048
2,54796_mask.png,2,2716.0,194.75230867899737,1.1367775855575053,63.24555320336759,0.8998588665773661
3,54796_mask.png,3,2465.0,186.2670273047588,1.176278170630506,60.74537019394976,0.8928013133974664
4,54796_mask.png,4,2345.0,178.0243866176395,1.0064841774151665,55.7584074378026,0.9298089343234066
5,54796_mask.png,5,2501.0,187.095454429505,1.0598406182751785,59.20304046246274,0.8978361409973482
6,54796_mask.png,6,2053.0,166.8528137423857,1.055769425298762,52.773099207835045,0.9266841688180584
7,54796_mask.png,7,3925.0,232.89444430272837,1.1822422006451343,76.68767828015137,0.9093504121610416
8,54796_mask.png,8,1766.0,156.61017305526642,1.1653670973962922,50.99019513592785,0.9048167347405822
9,54796_mask.png,9,2126.0,172.12489168102783,1.182610567717455,56.43580423808985,0.9017491970647328
10,54796_mask.png,10,3208.0,210.65180361560903,1.2038479543713096,70.178344238091,0.9084768390299384
11,54796_mask.png,11,3172.0,208.89444430272832,1.0734663629496024,66.70832032063167,0.9134594291571332
12,54796_mask.png,12,789.0,103.74011537017762,1.0546126213676068,32.984845004941285,0.9212837563521952
13,54796_mask.png,13,2852.0,196.75230867899737,1.0482570097326551,61.61168720299745,0.925805403247252
14,54796_mask.png,14,2325.0,185.7817459305202,1.5900569446174948,67.1863081289633,0.8464995690396484
15,54796_mask.png,15,2623.0,188.2670273047588,1.1201222545040757,61.40032573203501,0.9299500543070212
16,54796_mask.png,16,3688.0,225.48023074035524,1.0642198899875726,70.9365914038728,0.9115570101140524
17,54796_mask.png,17,1481.0,143.0538238691624,1.2595647975707018,48.507731342539614,0.9094230977401776
18,54796_mask.png,18,3180.0,209.48023074035524,1.1952390708648035,69.02897942168927,0.9106487521167074
19,54796_mask.png,19,2436.0,182.5096679918781,1.12694962686018,58.9406481131655,0.9189997597649716
20,54796_mask.png,20,878.0,108.08326112068522,1.08852872380848,35.0,0.9444685485119284
21,54796_mask.png,21,2398.0,181.3380951166243,1.1429156409874457,60.166435825965294,0.9163912718858016
22,54796_mask.png,22,2037.0,166.36753236814712,1.0749873895922892,52.630789467763066,0.9248339051967291
23,54796_mask.png,23,2025.0,165.6812408671319,1.13004892179076,53.9351462406472,0.9270181014516408
24,54796_mask.png,24,1701.0,150.46803743153546,1.024896246993397,47.01063709417264,0.9441166673652288
25,54796_mask.png,25,1289.0,132.46803743153546,1.1274205624704157,42.7551166528639,0.923082626595653
26,54796_mask.png,26,4563.0,250.4507934888324,1.1576344377229626,81.83520025025906,0.9141458854220776
27,54796_mask.png,27,2863.0,198.65180361560903,1.167774032732998,64.66065264130884,0.9116878920592854
28,54796_mask.png,28,1580.0,147.88225099390854,1.19528521610494,47.80167361086848,0.9078933725076508
29,54796_mask.png,29,713.0,99.25483399593902,1.1031932340887205,32.64965543462902,0.9094860858001416
30,54796_mask.png,30,2450.0,183.095454429505,1.0722434087963153,57.584720195551874,0.9183766292348736
31,54796_mask.png,31,1368.0,143.29646455628168,1.2527491676108458,47.4236228055175,0.8371918856880528
32,54796_mask.png,32,3374.0,216.06601717798213,1.1115485000560743,69.63476143421474,0.9082010700894912
33,54796_mask.png,33,1390.0,138.95331880577405,1.1315103302719824,45.5411901469428,0.9046629745110328
34,54796_mask.png,34,2015.0,166.8528137423857,1.2223136135811927,55.60575509783138,0.9095317097751522
