date,condition,area_bin,frequency
20250422,total,550,0.0013976665046183763
20250422,total,650,0.0021876519202722413
20250422,total,750,0.0030991735537190084
20250422,total,850,0.0047399124939231894
20250422,total,950,0.00844676713660671
20250422,total,1050,0.011424404472532814
20250422,total,1150,0.026434127369956248
20250422,total,1250,0.04636606708799222
20250422,total,1350,0.07182790471560525
20250422,total,1450,0.09789742343218279
20250422,total,1550,0.1033665532328634
20250422,total,1650,0.10506806028196403
20250422,total,1750,0.09905201750121537
20250422,total,1850,0.0900583373845406
20250422,total,1950,0.0741370928536704
20250422,total,2050,0.056757413709285366
20250422,total,2150,0.0478852698104035
20250422,total,2250,0.03676470588235294
20250422,total,2350,0.026981040350024306
20250422,total,2450,0.018291200777831793
20250422,total,2550,0.016711229946524065
20250422,total,2650,0.01385512882839086
20250422,total,2750,0.008385999027710258
20250422,total,2850,0.007839086047642198
20250422,total,2950,0.006259115216334468
20250422,total,3050,0.004071463296062227
20250422,total,3150,0.003889158969372873
20250422,total,3250,0.003524550315994166
20250422,total,3350,0.0015799708313077297
20250422,total,3450,0.001701507049100632
20250423 5PM,#1,550,0.004410838059231254
20250423 5PM,#1,650,0.00945179584120983
20250423 5PM,#1,750,0.016663166001540292
20250423 5PM,#1,850,0.023664496254288316
20250423 5PM,#1,950,0.027235174683189808
20250423 5PM,#1,1050,0.039277462717916406
20250423 5PM,#1,1150,0.06357207869495204
20250423 5PM,#1,1250,0.08485612266330603
20250423 5PM,#1,1350,0.1090107120352867
20250423 5PM,#1,1450,0.11195127074144087
20250423 5PM,#1,1550,0.11055100469089127
20250423 5PM,#1,1650,0.09598823776517539
20250423 5PM,#1,1750,0.0807253378141847
20250423 5PM,#1,1850,0.06329202548484213
20250423 5PM,#1,1950,0.049009311769236154
20250423 5PM,#1,2050,0.033676398515717985
20250423 5PM,#1,2150,0.02177413708604635
20250423 5PM,#1,2250,0.015052860043408247
20250423 5PM,#1,2350,0.010011902261429671
20250423 5PM,#1,2450,0.0068613036476930615
20250423 5PM,#1,2550,0.005741090807253378
20250423 5PM,#1,2650,0.004270811454176293
20250423 5PM,#1,2750,0.0033606385213190504
20250423 5PM,#1,2850,0.0025904921935167684
20250423 5PM,#1,2950,0.0027305187985717286
20250423 5PM,#1,3050,0.001610305958132045
20250423 5PM,#1,3150,0.000980186235384723
20250423 5PM,#1,3250,0.0008401596303297626
20250423 5PM,#1,3350,0.0003500665126374011
20250423 5PM,#1,3450,0.0004900931176923615
20250423 5PM,#2,550,0.007295142226997681
20250423 5PM,#2,650,0.01673924107900243
20250423 5PM,#2,750,0.027257818243510718
20250423 5PM,#2,850,0.038511564779731944
20250423 5PM,#2,950,0.05559011479952497
20250423 5PM,#2,1050,0.07447831250353447
20250423 5PM,#2,1150,0.09551546683255104
20250423 5PM,#2,1250,0.11581745178985467
20250423 5PM,#2,1350,0.11553469433919583
20250423 5PM,#2,1450,0.10394163886218402
20250423 5PM,#2,1550,0.08624102245094158
20250423 5PM,#2,1650,0.07029350223378386
20250423 5PM,#2,1750,0.055872872250183794
20250423 5PM,#2,1850,0.04009500650342136
20250423 5PM,#2,1950,0.026748854832324833
20250423 5PM,#2,2050,0.019962676016513036
20250423 5PM,#2,2150,0.013346151671096533
20250423 5PM,#2,2250,0.0076344511677882716
20250423 5PM,#2,2350,0.006503421365152972
