time,condition,area_bin,frequency
day2,1,550,0.003197039
day2,1,650,0.007067138
day2,1,750,0.015143867
day2,1,850,0.022042739
day2,1,950,0.027090695
day2,1,1050,0.044253744
day2,1,1150,0.061585058
day2,1,1250,0.089517079
day2,1,1350,0.107521454
day2,1,1450,0.119468282
day2,1,1550,0.117953895
day2,1,1650,0.100790846
day2,1,1750,0.080430759
day2,1,1850,0.057546694
day2,1,1950,0.043917214
day2,1,2050,0.028268551
day2,1,2150,0.019013966
day2,1,2250,0.015480397
day2,1,2350,0.007740199
day2,1,2450,0.007235403
day2,1,2550,0.008581524
day2,1,2650,0.005047956
day2,1,2750,0.002187447
day2,1,2850,0.002523978
day2,1,2950,0.001850917
day2,1,3050,0.001177856
day2,1,3150,0.001177856
day2,1,3250,0.001009591
day2,1,3350,0.000673061
day2,1,3450,0.000504796
day2,2,550,0.00580341
day2,2,650,0.013178576
day2,2,750,0.025510821
day2,2,850,0.036754927
day2,2,950,0.050779833
day2,2,1050,0.060693991
day2,2,1150,0.080643211
day2,2,1250,0.10663765
day2,2,1350,0.110869302
day2,2,1450,0.107242171
day2,2,1550,0.0914037
day2,2,1650,0.075565228
day2,2,1750,0.063837505
day2,2,1850,0.043525571
day2,2,1950,0.035666788
day2,2,2050,0.019707411
day2,2,2150,0.018135655
day2,2,2250,0.011727723
day2,2,2350,0.010276871
day2,2,2450,0.008342401
day2,2,2550,0.005440696
day2,2,2650,0.003022609
day2,2,2750,0.004594366
day2,2,2850,0.002901705
day2,2,2950,0.001692661
day2,2,3050,0.002297183
day2,2,3150,0.001209044
day2,2,3250,0.000846331
day2,2,3350,0.001088139
day2,2,3450,0.000604522
day2,3,550,0.007889546
day2,3,650,0.011702827
day2,3,750,0.021301775
day2,3,850,0.030769231
day2,3,950,0.037343853
day2,3,1050,0.056278764
day2,3,1150,0.073372781
day2,3,1250,0.090992768
day2,3,1350,0.10834977
day2,3,1450,0.107429323
day2,3,1550,0.095726496
day2,3,1650,0.08731098
day2,3,1750,0.07113741
day2,3,1850,0.054043393
day2,3,1950,0.040762656
day2,3,2050,0.028533859
day2,3,2150,0.018540434
day2,3,2250,0.011965812
day2,3,2350,0.010519395
day2,3,2450,0.007363577
day2,3,2550,0.00644313
day2,3,2650,0.004076266
day2,3,2750,0.00539119
day2,3,2850,0.003155819
day2,3,2950,0.002629849
day2,3,3050,0.003287311
day2,3,3150,0.001709402
day2,3,3250,0.000788955
day2,3,3350,0.000657462
day2,3,3450,0.00052597
day2,4,550,0.004254565
day2,4,650,0.00904095
day2,4,750,0.017018259
day2,4,850,0.02659103
day2,4,950,0.042013827
day2,4,1050,0.052827513
day2,4,1150,0.077113987
day2,4,1250,0.104414111
day2,4,1350,0.116114164
day2,4,1450,0.110618685
day2,4,1550,0.101755008
day2,4,1650,0.089700408
day2,4,1750,0.065945754
day2,4,1850,0.051409325
day2,4,1950,0.034213792
day2,4,2050,0.025527389
day2,4,2150,0.017727353
day2,4,2250,0.013472789
day2,4,2350,0.007800035
day2,4,2450,0.006559121
day2,4,2550,0.005140932
day2,4,2650,0.004609112
day2,4,2750,0.003900018
day2,4,2850,0.003722744
day2,4,2950,0.001595462
day2,4,3050,0.002481829
day2,4,3150,0.001418188
day2,4,3250,0.000886368
day2,4,3350,0.001063641
day2,4,3450,0.001063641
day2,5,550,0.003481013
day2,5,650,0.009810127
