sequence,image,label,area,perimeter,aspect_ratio,max_diameter,circularity
1,63081_mask.png,1,2735.0,194.75230867899737,1.1846970496696767,64.32728814430156,0.9061539028310368
2,63081_mask.png,2,1949.0,164.36753236814712,1.236781416559552,54.70831746635972,0.9065455549306152
3,63081_mask.png,3,2104.0,172.61017305526642,1.3500485723853048,59.84145720150872,0.8874069456260589
4,63081_mask.png,4,2354.0,178.8528137423857,1.0438559977988244,55.57877292636101,0.9247509127906156
5,63081_mask.png,5,2691.0,192.16652224137044,1.1715307502902783,63.00793600809346,0.9157313885441328
6,63081_mask.png,6,2168.0,173.19595949289334,1.167465785274947,56.04462507680822,0.9082253711580662
7,63081_mask.png,7,1388.0,138.9116882454314,1.3641289121513114,47.80167361086848,0.9039028405132694
8,63081_mask.png,8,1405.0,138.71067811865476,1.1798631439323255,45.70557952810576,0.9176274539709116
9,63081_mask.png,9,2078.0,168.50966799187808,1.1935099844326975,55.22680508593631,0.9196143962814024
10,63081_mask.png,10,2397.0,181.09545442950497,1.1404809120567676,58.69412236331676,0.9184653972165736
11,63081_mask.png,11,1634.0,150.36753236814712,1.1759838716895366,49.04079934095692,0.908142019373459
12,63081_mask.png,12,1267.0,130.81118318204307,1.0670567709142464,41.617304093369626,0.9304579077247168
13,63081_mask.png,13,1889.0,162.95331880577402,1.2663885598632447,54.405882034941776,0.8939544733945931
14,63081_mask.png,14,968.0,117.39696961967,1.4990287885637792,42.95346318982906,0.8826152930739465
15,63081_mask.png,15,921.0,113.05382386916236,1.108666669626066,35.90264614203248,0.9055219490539672
16,63081_mask.png,16,2180.0,172.8528137423857,1.0299756671454243,53.85164807134504,0.9168820080000978
17,63081_mask.png,17,2060.0,171.78174593052023,1.264201819533821,57.38466694161429,0.877249358889164
18,63081_mask.png,18,2017.0,167.6812408671319,1.2791425701756365,56.08029957123981,0.9014607122534388
19,63081_mask.png,19,2495.0,184.2670273047588,1.106547115427059,59.033888572581766,0.9233899739535384
20,63081_mask.png,20,2182.0,173.3380951166243,1.1521160051156674,56.60388679233962,0.9125918187033786
21,63081_mask.png,21,1934.0,164.12489168102786,1.326879085749758,56.32051136131489,0.9022303430316924
22,63081_mask.png,22,1721.0,153.88225099390857,1.1933034641670943,51.894122981316485,0.9133004533866576
23,63081_mask.png,23,2592.0,188.2670273047588,1.1690094458807578,61.5223536610881,0.9189594131772012
24,63081_mask.png,24,1878.0,162.61017305526642,1.311728160396517,56.32051136131489,0.8925037055976776
25,63081_mask.png,25,2094.0,169.6812408671319,1.1365135959689483,55.57877292636101,0.9139425107513496
26,63081_mask.png,26,1852.0,158.36753236814712,1.123778496088221,51.40038910358559,0.9279371175810286
27,63081_mask.png,27,1459.0,143.0538238691624,1.2136982665784526,48.27007354458868,0.8959137742085882
28,63081_mask.png,28,1463.0,144.46803743153546,1.1180102145883342,45.27692569068709,0.8808676162234232
29,63081_mask.png,29,2319.0,178.50966799187808,1.1703628062316005,58.69412236331676,0.9145071980863086
30,63081_mask.png,30,2247.0,175.6812408671319,1.149226226546045,57.0087712549569,0.9148758336121668
31,63081_mask.png,31,1961.0,163.88225099390854,1.1914849308868594,53.48831648126533,0.9175370638989944
32,63081_mask.png,32,1819.0,159.19595949289334,1.2410259050388897,53.41348144429457,0.9019417312119355
33,63081_mask.png,33,2323.0,177.3380951166243,1.092295121761537,56.302753041036986,0.9282287068536424
34,63081_mask.png,34,2449.0,183.4386001800126,1.1420888202937196,59.43904440685432,0.9145705105908392
35,63081_mask.png,35,1686.0,154.0243866176395,1.248540454522512,51.22499389946279,0.8930760819856248
36,63081_mask.png,36,1836.0,160.36753236814712,1.250480656997839,53.823786563191554,0.8971181592772386
37,63081_mask.png,37,2231.0,174.8528137423857,1.1921330556780576,58.00862004909271,0.9169891214413644
38,63081_mask.png,38,1661.0,152.0243866176395,1.2759532086890977,51.86520991955976,0.9031356314343836
39,63081_mask.png,39,2343.0,180.2670273047588,1.2014102312595056,60.166435825965294,0.9060445628297488
40,63081_mask.png,40,1663.0,151.05382386916236,1.163650905992041,48.87739763939975,0.9158801903984148
41,63081_mask.png,41,2492.0,185.9238815542512,1.176987942356766,61.68468205316454,0.9059152003963196
42,63081_mask.png,42,1528.0,144.71067811865476,1.1101127459347118,46.52956049652737,0.916921298953446
43,63081_mask.png,43,2153.0,171.6812408671319,1.073649883198696,54.147945482723536,0.9179271315024012
44,63081_mask.png,44,1643.0,149.88225099390854,1.173864755934709,51.10772935672255,0.9190666636686284
