sequence,image,label,area,perimeter,aspect_ratio,max_diameter,circularity
1,65638_mask.png,1,818.0,120.08326112068522,2.164181209516056,48.16637831516918,0.7128501092374586
2,65638_mask.png,2,2457.0,184.75230867899737,1.1481481027247944,58.7962583843564,0.9045556118812508
3,65638_mask.png,3,838.0,119.88225099390856,1.988223394441384,46.238512086787566,0.7327302220100088
4,65638_mask.png,4,2352.0,179.92388155425118,1.0844998912010182,56.85068161420758,0.912997436282268
5,65638_mask.png,5,1148.0,124.81118318204308,1.0481461047689145,39.6232255123179,0.92607199622662
6,65638_mask.png,6,2137.0,172.02438661763952,1.1308096542125965,55.44366510251645,0.9074743328904372
7,65638_mask.png,7,1975.0,164.50966799187808,1.1381331433406623,53.9351462406472,0.9170523164332276
8,65638_mask.png,8,1858.0,158.12489168102783,1.0498748950416283,50.0,0.9338026275932716
9,65638_mask.png,9,2348.0,184.36753236814712,1.4314454668316643,63.38769596696192,0.86803866549713
10,65638_mask.png,10,2297.0,178.50966799187808,1.0016140668999158,54.589376255824725,0.9058314075050672
11,65638_mask.png,11,2520.0,185.58073580374355,1.102779704276361,58.89821729050889,0.9194849394526392
12,65638_mask.png,12,1679.0,150.12489168102786,1.0427623656202902,47.43416490252569,0.93617091872214
13,65638_mask.png,13,2781.0,196.75230867899737,1.1169729910639972,62.28964600958975,0.90275765302616
14,65638_mask.png,14,1069.0,123.7401153701776,1.1924094868765616,40.80441152620633,0.8773371833220188
15,65638_mask.png,15,2312.0,178.02438661763952,1.107395988323567,57.28001396647874,0.9167242030514778
16,65638_mask.png,16,3837.0,243.4802307403552,1.5393554921499617,85.84287972802403,0.8133439750359737
17,65638_mask.png,17,1472.0,140.71067811865476,1.0137045121977737,43.46262762420146,0.9342509798132383
18,65638_mask.png,18,2679.0,192.7523086789974,1.1115271771657051,61.61168720299745,0.9061151685670789
19,65638_mask.png,19,1696.0,152.02438661763952,1.0363071811821103,47.51841748206689,0.9221661835717724
20,65638_mask.png,20,2475.0,185.1959594928933,1.1411400649357617,58.872744118140105,0.9068220104419976
21,65638_mask.png,21,2111.0,170.2670273047588,1.066851908616124,53.46026561849464,0.9150334908866112
22,65638_mask.png,22,2412.0,180.8528137423857,1.033674128764082,56.93856338194704,0.926694589744886
23,65638_mask.png,23,2460.0,187.82337649086284,1.4317943247288372,65.92419889539804,0.8762856181476026
24,65638_mask.png,24,2210.0,175.09545442950497,1.0421020624914663,54.45181356024793,0.9058418771347156
25,65638_mask.png,25,2107.0,169.78174593052023,1.141636662166002,55.97320787662612,0.9185280198314456
26,65638_mask.png,26,1962.0,163.19595949289334,1.079754996902408,51.62363799656123,0.925742203231575
27,65638_mask.png,27,2175.0,171.4386001800126,1.1205114029879737,55.94640292279746,0.9299335177993194
28,65638_mask.png,28,665.0,95.84062043356596,1.12771894429905,30.610455730027933,0.909771392244518
29,65638_mask.png,29,2199.0,174.3380951166243,1.0578487049628853,54.74486277268398,0.9091813124872796
30,65638_mask.png,30,1803.0,156.95331880577402,1.076555098484765,50.0,0.9197389610353977
31,65638_mask.png,31,487.0,79.01219330881976,1.0219384166216632,25.632011235952596,0.9802810110768108
32,65638_mask.png,32,1909.0,161.4386001800126,1.0939524310624924,51.26402247190519,0.9204517463934958
33,65638_mask.png,33,1821.0,157.78174593052023,1.1467203268693822,50.92150822589606,0.9191921250001788
34,65638_mask.png,34,1097.0,120.91168824543142,1.0856531356399832,39.66106403010388,0.942931016190458
35,65638_mask.png,35,2194.0,173.095454429505,1.0314653592852694,53.75872022286245,0.9201850238487148
36,65638_mask.png,36,2033.0,166.36753236814712,1.118605590657182,53.36665625650534,0.9230178346906972
37,65638_mask.png,37,1992.0,164.8528137423857,1.1804018204211362,54.70831746635972,0.9210993371358572
38,65638_mask.png,38,1936.0,161.53910524340094,1.1601518803807551,52.773099207835045,0.9323089877146126
39,65638_mask.png,39,1762.0,154.95331880577402,1.1319910692721653,50.0,0.9221763989422602
40,65638_mask.png,40,2478.0,184.2670273047588,1.0613051432900924,57.97413216254298,0.917098338860468
41,65638_mask.png,41,1960.0,164.61017305526642,1.1340030374547438,52.49761899362675,0.9089763680454136
42,65638_mask.png,42,2524.0,185.58073580374355,1.142803661878718,59.81638571495272,0.9209444393565324
43,65638_mask.png,43,2449.0,183.9238815542512,1.0849852361392995,58.463663928973865,0.9097507066831436
44,65638_mask.png,44,2542.0,186.50966799187808,1.0745933758559776,58.54912467321779,0.9182960415879728
45,65638_mask.png,45,1589.0,147.29646455628165,1.0137523159534971,45.35416188179427,0.9203417324939456
46,65638_mask.png,46,2669.0,191.3380951166243,1.1715900003773696,62.62587324740471,0.9161267110374154
