sequence,image,label,area,perimeter,aspect_ratio,max_diameter,circularity
1,63492_mask.png,1,822.0,130.0416305603426,2.4842145852622286,47.43416490252569,0.6108250916427594
2,63492_mask.png,2,1932.0,162.12489168102783,1.142211519611647,53.907327887774215,0.9236715949000484
3,63492_mask.png,3,1118.0,126.81118318204308,1.1716066640181635,40.311288741492746,0.8736481432940777
4,63492_mask.png,4,1638.0,150.95331880577402,1.2123343527686017,50.44799302251776,0.9033133527999828
5,63492_mask.png,5,1519.0,144.46803743153546,1.167796643659371,48.010415536631214,0.9145850369401092
6,63492_mask.png,6,2141.0,170.8528137423857,1.058314681786821,53.75872022286245,0.921684449696658
7,63492_mask.png,7,1665.0,151.29646455628165,1.1847714149035171,49.64876634922564,0.9140428219843592
8,63492_mask.png,8,1848.0,159.19595949289334,1.1742417507952552,52.61178575186362,0.9163212310498388
9,63492_mask.png,9,1782.0,156.71067811865476,1.1759491786978875,51.85556864985669,0.9118436623250498
10,63492_mask.png,10,1516.0,143.29646455628165,1.109126346640736,46.09772228646444,0.9277652768297432
11,63492_mask.png,11,1506.0,142.46803743153546,1.0639338930195723,45.0,0.932395035451124
12,63492_mask.png,12,1386.0,137.0538238691624,1.0897770242477325,43.829214001622255,0.9272370576005332
13,63492_mask.png,13,1946.0,162.95331880577405,1.0480545736993845,51.40038910358559,0.9209292775150226
14,63492_mask.png,14,1616.0,147.53910524340094,1.0702549391032352,46.647615158762406,0.9329039454231144
15,63492_mask.png,15,1303.0,131.98275605729688,1.072165562354945,42.05948168962618,0.939982771429788
16,63492_mask.png,16,2016.0,164.95331880577405,1.118266479688275,54.08326913195984,0.9310613016448892
17,63492_mask.png,17,1925.0,163.19595949289334,1.1042545676994586,51.66236541235796,0.9082842717740988
18,63492_mask.png,18,1599.0,147.53910524340094,1.0794060737815825,46.57252408878007,0.9230899806507176
19,63492_mask.png,19,1451.0,139.88225099390857,1.0112781560243365,43.08131845707603,0.9318629644858104
20,63492_mask.png,20,1893.0,160.95331880577405,1.161525498822263,53.009433122794285,0.9182492995482258
21,63492_mask.png,21,1896.0,160.02438661763952,1.1319671651815983,52.630789467763066,0.9304131816304432
22,63492_mask.png,22,1383.0,137.29646455628165,1.111196151713278,44.64302857109943,0.921962667794862
23,63492_mask.png,23,1386.0,137.0538238691624,1.1468520888924305,44.91102314577124,0.9272370576005332
24,63492_mask.png,24,1471.0,142.12489168102783,1.048633401436063,44.28317965096906,0.9151288423642432
25,63492_mask.png,25,1504.0,142.46803743153546,1.1040645473073067,45.70557952810576,0.9311567950321982
26,63492_mask.png,26,1917.0,163.4386001800126,1.1895129567095988,53.48831648126533,0.901825910466902
27,63492_mask.png,27,2071.0,168.02438661763952,1.0916103012043614,53.75872022286245,0.9218183001667044
28,63492_mask.png,28,1471.0,140.71067811865476,1.1428462310126912,46.09772228646444,0.9336162984410828
29,63492_mask.png,29,1892.0,160.61017305526644,1.0250473538830958,49.9799959983992,0.9216900433344052
30,63493_mask.png,1,1999.0,164.95331880577402,1.112856450641369,53.23532661682466,0.923210090271892
31,63493_mask.png,2,1568.0,145.29646455628165,1.0936030108346146,46.32493928760188,0.933352786874741
32,63493_mask.png,3,1773.0,154.12489168102783,1.0806474114224232,49.64876634922564,0.9379356231888412
33,63493_mask.png,4,1590.0,147.53910524340094,1.0306378792293085,45.5411901469428,0.9178943522418016
34,63493_mask.png,5,1575.0,145.29646455628165,1.090766792369648,46.57252408878007,0.9375195403875748
35,63493_mask.png,6,1971.0,164.71067811865478,1.0516717005178722,52.40229002629561,0.9129625813201696
36,63493_mask.png,7,1729.0,152.95331880577402,1.0983723108394632,48.87739763939975,0.9287248104271116
37,63493_mask.png,8,1861.0,158.71067811865476,1.085046095875404,50.08991914547278,0.928418835377532
38,63493_mask.png,9,1641.0,149.29646455628165,1.0787929099418256,47.43416490252569,0.9251654337108466
39,63493_mask.png,10,1824.0,157.53910524340097,1.0392236122059275,49.4064773081425,0.923544760850534
40,63493_mask.png,11,1045.0,120.8111831820431,1.174777462364077,39.6232255123179,0.8997293320252288
41,63493_mask.png,12,1925.0,162.2670273047588,1.0762794290262423,51.62363799656123,0.9187133722398202
42,63493_mask.png,13,2111.0,168.26702730475878,1.074776439536475,53.9351462406472,0.936914699348124
43,63493_mask.png,14,1716.0,153.53910524340094,1.1282014073966071,50.15974481593781,0.9147220258760084
44,63493_mask.png,15,1702.0,152.12489168102783,1.0883388483272372,48.60041152089147,0.9242061534478012
45,63493_mask.png,16,2315.0,178.2670273047588,1.121941463676407,57.20139858430037,0.9154166650865604
46,63493_mask.png,17,1743.0,154.12489168102786,1.0598674831807209,48.87739763939975,0.9220653080756628
47,63493_mask.png,18,1675.0,150.36753236814712,1.1187036917738724,48.82622246293481,0.9309289366282398
48,63493_mask.png,19,1654.0,149.29646455628165,1.0782637911647317,48.25971404805462,0.9324945931491408
49,63493_mask.png,20,1815.0,156.95331880577405,1.072468974403943,49.20365840057018,0.9258603517910404
50,63493_mask.png,21,1113.0,135.88225099390854,1.950066499455388,51.10772935672255,0.7574946380153249
51,63493_mask.png,22,1152.0,141.63961030678928,1.0251349365459588,46.51881339845203,0.721593972187206
52,63493_mask.png,23,1668.0,150.36753236814712,1.0926604024209146,48.84669896727925,0.9270384873408382
53,63493_mask.png,24,1585.0,146.71067811865476,1.0599940470220623,46.400431032480725,0.9253705664247336
54,63493_mask.png,25,1982.0,164.0243866176395,1.0331845454094557,50.99019513592785,0.9257562856160324
55,63494_mask.png,1,1718.0,152.36753236814712,1.07191420965929,48.373546489791295,0.9299254966335228
56,63494_mask.png,2,1240.0,130.8111831820431,1.142498063321198,42.63801121065568,0.9106296808039844
57,63494_mask.png,3,1371.0,140.12489168102783,1.064576971749842,44.94441010848846,0.8774386064766058
58,63494_mask.png,4,1663.0,150.12489168102783,1.1115326449344043,48.507731342539614,0.9272496949582604
59,63494_mask.png,5,1270.0,132.46803743153546,1.0215580054105935,40.60788100849391,0.9094762884224044
60,63494_mask.png,6,1253.0,131.0538238691624,1.0982873110539204,41.43669871020132,0.9167724219628598
61,63494_mask.png,7,1533.0,144.95331880577402,1.1404058901695655,47.53945729601885,0.9168445174322808
62,63494_mask.png,8,1814.0,159.1959594928933,1.3370763382528648,55.57877292636101,0.8994625071019524
63,63494_mask.png,9,1719.0,152.36753236814712,1.1414326109215784,49.8196748283246,0.9304667803917496
64,63494_mask.png,10,1748.0,154.12489168102786,1.1004855458222569,49.24428900898052,0.9247103605945256
65,63494_mask.png,11,2148.0,172.5096679918781,1.1115424778870706,55.36244214266564,0.9070208331257356
66,63494_mask.png,12,1491.0,141.88225099390857,1.111663043264632,45.880278987817846,0.9307464049383072
67,63494_mask.png,13,1460.0,141.53910524340094,1.173993228960308,46.400431032480725,0.9158193770107892
68,63494_mask.png,14,1329.0,134.22539674441617,1.1144061172363886,43.01162633521314,0.9269695159746844
69,63494_mask.png,15,1782.0,155.53910524340094,1.1005992709363808,49.64876634922564,0.9256320233206936
70,63494_mask.png,16,1760.0,154.95331880577402,1.0421636092818327,48.27007354458868,0.9211296606914744
71,63494_mask.png,17,1683.0,150.71067811865476,1.0509754335992654,47.53945729601885,0.931120593755608
72,63494_mask.png,18,1704.0,152.71067811865476,1.042532449106411,47.70744176750625,0.9182070926499348
