sequence,image,label,area,perimeter,major_axis_length,minor_axis_length,aspect_ratio,eccentricity,orientation_deg,centroid_x,centroid_y,nuclear_area,nuclear_fraction,nuclear_mean_R,nuclear_mean_G,nuclear_mean_B
1,0001_masks.tif,1,11562.0,936.9705627484772,432.7310795753072,36.81795861610782,11.753261067168122,0.996373886835059,89.38171853227144,2913.893098079917,18.00674623767514,0,0.0,,,
2,0001_masks.tif,2,18352.0,1093.4386001800126,386.83837885860527,76.08544232930902,5.084262731684095,0.980466660676802,-70.77805494574825,5099.647831299041,86.97673278116827,4991,0.2719594594594595,185.50390625,188.0444793701172,134.95852661132812
3,0001_masks.tif,3,18538.0,1011.5807358037436,357.7419277723312,70.66485230987952,5.062515749747289,0.9802967920307436,54.23334964874548,4088.681734814975,102.51607508900636,7690,0.4148236055669436,178.31417846679688,177.50247192382812,126.6278305053711
4,0001_masks.tif,4,19572.0,1197.338095116624,454.4726531626147,59.51466748932759,7.636313405331761,0.9913885455859452,-23.74648956127512,4247.206826078071,221.09048640915597,1449,0.0740343347639485,204.01173400878903,210.48377990722656,140.88543701171875
5,0001_masks.tif,5,12123.0,738.6690475583121,292.3255345905172,57.41919270486977,5.09107705663937,0.980519434910493,-72.07127959535572,5328.408727212736,103.73108966427452,5616,0.4632516703786191,189.62945556640625,193.24465942382807,144.63229370117188
6,0001_masks.tif,6,19069.0,1098.669047558312,452.5604903800433,63.45172394141969,7.132359253120674,0.990122346138055,84.9092608100865,1608.4351040956526,110.259426293985,5545,0.2907860926110441,190.67935180664065,191.80577087402344,149.88800048828125
7,0001_masks.tif,7,14945.0,834.0832611206852,331.5091350625544,64.77244733866769,5.118057888553038,0.9807262977781468,-79.38971737324293,3683.5468718634993,128.74064904650385,2125,0.1421880227500836,187.9924774169922,190.53176879882807,135.13552856445312
8,0001_masks.tif,8,19103.0,1052.367532368147,416.45768643981256,60.4076556725832,6.894120981901095,0.9894241614786016,-69.46213640371731,2258.046798932105,181.81060566403184,6701,0.3507825995916871,197.5952911376953,199.3681488037109,142.72079467773438
9,0001_masks.tif,9,24041.0,1218.7523086789977,454.5354913834877,68.95079697632069,6.592171683520726,0.9884273383540598,67.63467483420848,2895.8468865687782,199.3328064556383,10206,0.4245247701842685,185.63491821289065,186.27101135253903,142.37722778320312
10,0001_masks.tif,10,19623.0,987.840620433566,412.7474698380368,62.7606185956539,6.5765360360329375,0.988371921096212,82.51215984690303,605.0348570554961,160.896142282016,6667,0.3397543698720889,172.43783569335938,169.92095947265625,116.7234115600586
11,0001_masks.tif,11,19935.0,963.9411254969544,412.4870389156815,69.5181011818813,5.933519930823271,0.985695836559374,-1.3140490459814884,4943.010433910208,326.8097316277903,5165,0.2590920491597692,191.7357177734375,192.0332946777344,142.50746154785156
12,0001_masks.tif,12,20664.0,1195.0365799264591,414.30038869602345,69.74624828686267,5.940110025589156,0.9857277873363484,34.2404087557622,2893.852109949671,334.04965156794424,7255,0.3510936895083236,189.70681762695312,190.9658203125,141.69772338867188
