sequence,image,label,area,perimeter,aspect_ratio,max_diameter,circularity
1,19376_mask.png,1,801.0,129.49747468305833,2.658575708109639,50.21951811795888,0.6002328793454479
2,19376_mask.png,2,1012.0,120.59797974644664,1.081434848515336,39.96248240537617,0.8744003270314665
3,19376_mask.png,3,1692.0,156.12489168102786,1.0513948525433532,48.79549159502341,0.8723001006462755
4,19376_mask.png,4,2228.0,194.8528137423857,1.3747555785643606,67.62396025078685,0.7374145245081645
5,19376_mask.png,5,1418.0,139.0538238691624,1.1253565633238802,44.40720662234904,0.9215527992364466
6,19376_mask.png,6,1934.0,184.99494936611663,1.5518317092744884,68.73136110975832,0.7101442752721395
7,19376_mask.png,7,2309.0,176.8528137423857,1.1373683604015858,57.62811813689564,0.9277048972771356
8,19376_mask.png,8,1829.0,159.29646455628165,1.114194427434613,50.60632371551998,0.9057561577336148
9,19376_mask.png,9,1740.0,154.12489168102783,1.1024773876512135,49.39635614091387,0.9204782765643452
10,19376_mask.png,10,2197.0,173.6812408671319,1.1174583861396468,55.60575509783138,0.9152381074352102
11,19376_mask.png,11,1280.0,130.81118318204307,1.1305618026463304,42.43819034784589,0.940004831797662
12,19376_mask.png,12,1550.0,145.53910524340094,1.0346508273446142,45.27692569068709,0.9195644239897532
13,19376_mask.png,13,2096.0,168.8528137423857,1.0953027811524303,53.71219600798314,0.9238139972488996
14,19376_mask.png,14,1703.0,152.71067811865476,1.0343260086216752,47.4236228055175,0.9176682387223232
15,19376_mask.png,15,2840.0,198.65180361560903,1.1897363928724896,64.8459713474939,0.9043638188782293
16,19376_mask.png,16,781.0,101.59797974644668,1.1046999906855126,32.802438933713454,0.9508034601409608
17,19376_mask.png,17,929.0,122.5685424949238,1.0171471069956304,36.6742416417845,0.7770832260086515
18,19376_mask.png,18,2294.0,178.50966799187808,1.2533699355595207,59.90826320300064,0.9046483451530798
19,19376_mask.png,19,2071.0,168.2670273047588,1.0747320933057232,53.75872022286245,0.9191616969919298
20,19376_mask.png,20,2282.0,176.2670273047588,1.1099915313886402,56.63920903402519,0.922960985776878
21,19376_mask.png,21,1538.0,144.71067811865476,1.0110920567141308,45.617978911828175,0.9229220927947642
22,19376_mask.png,22,1001.0,118.32590180780451,1.3210084249492389,40.26164427839479,0.8984301035708189
23,19376_mask.png,23,1953.0,165.92388155425118,1.0393706782353356,51.419840528729765,0.8914444994760599
24,19376_mask.png,24,1873.0,160.0243866176395,1.0678771900086717,50.35871324805669,0.9191265238364036
25,19376_mask.png,25,1534.0,144.71067811865476,1.0715701714542738,46.09772228646444,0.920521775258237
26,19376_mask.png,26,1813.0,157.53910524340094,1.1452540255158346,50.99019513592785,0.917975137841019
27,19376_mask.png,27,3403.0,216.06601717798213,1.0413587645767903,67.20119046564577,0.916007184799804
28,19376_mask.png,28,2116.0,171.92388155425118,1.0407558188328407,55.02726596879042,0.8996075920546017
29,19376_mask.png,29,1969.0,165.78174593052023,1.1568049639935896,54.08326913195984,0.9002894521809205
30,19376_mask.png,30,2648.0,192.99494936611663,1.0792576645679002,59.81638571495272,0.8933794476947707
31,19376_mask.png,31,1978.0,166.8528137423857,1.0922816508032958,52.49761899362675,0.8928306312333751
32,19376_mask.png,32,1850.0,158.0243866176395,1.0373548886737938,50.69516742254631,0.9309650259199694
33,19376_mask.png,33,2880.0,198.16652224137044,1.0113283406199596,61.09828148156051,0.9215985363430432
34,19376_mask.png,34,1659.0,162.4386001800126,1.3408403079854716,54.56189146281496,0.7900921984082918
35,19376_mask.png,35,1117.0,123.9827560572969,1.2578290007510595,42.80186911806539,0.91314651234093
36,19376_mask.png,36,1285.0,133.88225099390854,1.1518172692707322,43.68065933568311,0.9008800724763792
37,19376_mask.png,37,674.0,94.66904755831212,1.0139110479648676,29.410882339705484,0.9450477336172444
38,19376_mask.png,38,3337.0,216.06601717798213,1.1569584713068863,69.6419413859206,0.8982415444246096
39,19376_mask.png,39,1990.0,164.0243866176395,1.051612798199684,51.894122981316485,0.9294929406538368
40,19376_mask.png,40,1821.0,158.71067811865476,1.2020632370151068,52.40229002629561,0.9084635675564136
41,19376_mask.png,41,2368.0,179.6812408671319,1.08731227458568,56.61271941887264,0.9216925684144266
42,19376_mask.png,42,1889.0,160.95331880577402,1.0376446164760964,50.21951811795888,0.916308994636344
43,19376_mask.png,43,1811.0,156.36753236814712,1.0833478856685277,50.21951811795888,0.93075450955865
44,19376_mask.png,44,1730.0,154.95331880577405,1.1773372612368025,50.48762224545735,0.9054285869296878
45,19376_mask.png,45,1519.0,156.71067811865476,1.6392477102972252,57.982756057296896,0.7772674091311731
46,19376_mask.png,46,1522.0,142.95331880577402,1.1427665553998794,46.84015371452148,0.935914189393112
47,19376_mask.png,47,2040.0,167.4386001800126,1.1073267734655647,53.16013544000805,0.9143845141831451
48,19376_mask.png,48,2169.0,171.92388155425118,1.064374939054208,54.45181356024793,0.9221402963924532
49,19376_mask.png,49,1788.0,155.19595949289334,1.1462164528540202,50.774009099144415,0.93286018587926
50,19376_mask.png,50,1784.0,159.53910524340097,1.2427712165479383,52.952809179494906,0.8807860142876454
51,19376_mask.png,51,2530.0,185.3380951166243,1.101890251805518,59.53990258641679,0.9255523653495752
52,19376_mask.png,52,3253.0,211.48023074035524,1.070452443095491,66.75327707311455,0.9140172163475608
53,19376_mask.png,53,1250.0,130.5685424949238,1.169030210398487,43.41658669218482,0.9213884515193284
54,19376_mask.png,54,2371.0,181.3380951166243,1.1258325665892972,57.68882040742383,0.9060732717436344
55,19376_mask.png,55,2362.0,181.4386001800126,1.168047676526791,60.03332407921454,0.90163421553832
56,19376_mask.png,56,2451.0,185.9238815542512,1.102128442016404,59.09314681077663,0.8910104960559307
57,19376_mask.png,57,3521.0,220.89444430272832,1.1380727923102143,71.06335201775947,0.9067891246471522
58,19376_mask.png,58,2581.0,187.3380951166243,1.0767827389964637,59.20304046246274,0.9241568111882776
59,19376_mask.png,59,2095.0,168.0243866176395,1.0544547144324667,52.61178575186362,0.93250088790403
60,19376_mask.png,60,1929.0,161.53910524340094,1.1193749727544788,51.92301994298868,0.9289380357962228
61,19376_mask.png,61,2264.0,175.4386001800126,1.09456547311858,56.302753041036986,0.9243490083029812
62,19376_mask.png,62,2380.0,182.50966799187808,1.111457010579808,58.728187440104094,0.8978733285060071
63,19376_mask.png,63,505.0,81.84062043356595,1.0881186213020613,26.476404589747453,0.9474655238787354
64,19376_mask.png,64,1784.0,157.78174593052023,1.1113103616798046,50.00999900019995,0.9005155140034701
65,19376_mask.png,65,3403.0,216.3086578651014,1.066089376637284,68.00735254367721,0.9139533053451304
66,19376_mask.png,66,2915.0,199.23759005323592,1.1167510859260046,64.1404708432983,0.9227963397833532
67,19376_mask.png,67,2184.0,173.095454429505,1.06191597022892,54.378304497290095,0.9159909262012732
68,19376_mask.png,68,2218.0,174.50966799187808,1.1094066902081705,55.94640292279746,0.9152345815685162
69,19376_mask.png,69,2114.0,170.2670273047588,1.0358074969190385,53.16013544000805,0.9163338700778284
70,19376_mask.png,70,1863.0,160.0243866176395,1.1834113440720848,52.20153254455275,0.9142192813172556
71,19376_mask.png,71,1229.0,135.3319984622144,1.434920412433643,47.63402145525821,0.8432585564717664
72,19376_mask.png,72,657.0,93.49747468305831,1.0808638881317574,30.083217912982647,0.9444423901938224
73,19376_mask.png,73,1933.0,163.19595949289334,1.0900646063251709,51.73973328110612,0.9120589596567964
74,19376_mask.png,74,430.0,75.35533905932738,1.164148711656629,25.0,0.9515908623051964
75,19376_mask.png,75,2419.0,185.58073580374355,1.152634466559994,58.60034129593445,0.882632566879339
76,19376_mask.png,76,1000.0,115.7401153701776,1.2315741790570185,39.05124837953327,0.9380846771076587
77,19376_mask.png,77,2274.0,178.99494936611666,1.1295188020336224,58.42088667591412,0.8919053535279851
78,19376_mask.png,78,1807.0,157.53910524340094,1.1238429643452232,50.80354318352215,0.9149371616540108
79,19376_mask.png,79,1749.0,152.95331880577402,1.0442995621137208,48.54894437575342,0.9394677232140072
80,19376_mask.png,80,903.0,110.9116882454314,1.2228119309299377,37.53664875824692,0.9224503126575626
81,19376_mask.png,81,1066.0,119.1543289325507,1.12282120349407,39.0,0.9435119792454044
82,19376_mask.png,82,1678.0,150.12489168102783,1.1063437813748296,48.38388161361178,0.9356133422368976
83,19376_mask.png,83,1394.0,143.88225099390854,1.3903953178717343,50.44799302251776,0.8461711041990884
84,19376_mask.png,84,2513.0,185.09545442950497,1.005826416086126,56.93856338194704,0.9217451171151916
85,19376_mask.png,85,3454.0,219.3797256769669,1.0791884361493942,69.05070600652827,0.901860194994579
86,19376_mask.png,86,2384.0,181.6812408671319,1.0576538253752836,57.0087712549569,0.9076030366196092
87,19376_mask.png,87,2127.0,169.6812408671319,1.103620695807574,54.20332093147061,0.928345616221643
88,19376_mask.png,88,2513.0,185.23759005323592,1.0903071676082776,60.8276253029822,0.9203311216832748
89,19376_mask.png,89,2357.0,180.50966799187808,1.039029228916834,56.22277118748239,0.9090096876911972
90,19376_mask.png,90,2374.0,179.6812408671319,1.0873781943059029,57.30619512757761,0.9240279380979092
91,19376_mask.png,91,2304.0,178.8528137423857,1.0714209248937852,56.302753041036986,0.9051087948468898
92,19376_mask.png,92,2172.0,176.4386001800126,1.231856011585028,57.14017850864661,0.8767635326979915
93,19376_mask.png,93,978.0,114.81118318204308,1.0787739691669356,36.12478373637688,0.9323529164687564
94,19376_mask.png,94,2202.0,173.92388155425118,1.106615339695698,56.302753041036986,0.9147633161113728
95,19376_mask.png,95,2328.0,179.78174593052023,1.1126548729197328,57.48912940721924,0.9051106031332457
96,19376_mask.png,96,2266.0,176.50966799187808,1.1404200002408114,56.92099788303083,0.9139717523734848
97,19376_mask.png,97,2440.0,182.2670273047588,1.1121355843783678,58.2494635168428,0.9229612533827544
98,19376_mask.png,98,2824.0,195.58073580374355,1.100213856790884,62.62587324740471,0.9277317184439976
99,19376_mask.png,99,898.0,110.9116882454314,1.2292287716984056,37.10795063055895,0.917342614359348
100,19376_mask.png,100,1784.0,155.53910524340094,1.147069579012366,50.48762224545735,0.926670892033736
101,19376_mask.png,101,495.0,82.42640687119285,1.0869237209384794,26.476404589747453,0.915550545948292
102,19376_mask.png,102,987.0,115.39696961967,1.1875122656140535,38.07886552931954,0.9314042350556216
103,19376_mask.png,103,1727.0,151.63961030678928,1.0760744715928443,48.70318264754368,0.9437932832177072
104,19376_mask.png,104,1445.0,140.46803743153546,1.1571766079672865,47.16990566028302,0.9202857170979164
105,19376_mask.png,105,1227.0,132.61017305526642,1.2394286268903807,44.01136216933077,0.8768004078024875
106,19376_mask.png,106,2244.0,174.2670273047588,1.02706605082714,53.9351462406472,0.928543535339543
107,19376_mask.png,107,1820.0,159.53910524340094,1.077430531045387,50.08991914547278,0.8985597230961407
108,19376_mask.png,108,2052.0,166.50966799187808,1.010392512861899,52.172789842982326,0.930054312275262
109,19376_mask.png,109,1990.0,165.6812408671319,1.0925426646510583,52.40229002629561,0.9109955663648224
110,19376_mask.png,110,1948.0,162.0243866176395,1.0634922444335166,51.24451190127583,0.9324768197144948
111,19376_mask.png,111,2292.0,178.2670273047588,1.0729474227804408,56.859475903318,0.906321812690452
112,19376_mask.png,112,2736.0,203.82337649086284,1.3239066848042396,70.178344238091,0.8275952199700224
113,19376_mask.png,113,2423.0,182.36753236814712,1.1102929089876463,59.23681287847955,0.9155208404931358
