time,condition_value,mu
day2,1,0.715961858
day2,2,0.742744122
day2,3,0.74893854
day2,4,0.768370602
day2,5,0.839750655
day2,6,0.771928058
day3,1,0.737271985
day3,2,0.559615788
day3,3,0.886390786
day3,4,0.718193212
day3,5,0.726669873
day3,6,0.844045825
day4,1,0.570857603
day4,2,0.296856449
day4,3,0.79914647
day4,4,0.616044787
day4,5,0.722030055
day4,6,0.866196787
day5,1,0.359719086
day5,2,0.302131963
day5,3,0.453159982
day5,4,0.41685043
day5,5,0.514378025
day5,6,0.42356515
day6,1,0.107485915
day6,2,0.284512498
day6,3,0.167756332
day6,4,0.33377318
day6,5,0.105892289
day6,6,0.017778246
day7,1,-0.025807884
day7,2,0.363319487
day7,3,-0.076189138
day7,4,0.142500063
day7,5,0.05582845
day7,6,-0.136682987
