time,area_bin,frequency,condition
20250322,550,0.003611165,0
20250322,650,0.004587156,0
20250322,750,0.00517275,0
20250322,850,0.005953543,0
20250322,950,0.004879953,0
20250322,1050,0.006441538,0
20250322,1150,0.012395081,0
20250322,1250,0.021959789,0
20250322,1350,0.039527621,0
20250322,1450,0.062658598,0
20250322,1550,0.080031232,0
20250322,1650,0.09271911,0
20250322,1750,0.100234238,0
20250322,1850,0.092914308,0
20250322,1950,0.087936756,0
20250322,2050,0.076615264,0
20250322,2150,0.069392934,0
20250322,2250,0.057193051,0
20250322,2350,0.041577201,0
20250322,2450,0.030548507,0
20250322,2550,0.023228577,0
20250322,2650,0.018446223,0
20250322,2750,0.016201444,0
20250322,2850,0.012102284,0
20250322,2950,0.010052703,0
20250322,3050,0.006539137,0
20250322,3150,0.005758345,0
20250322,3250,0.004879953,0
20250322,3350,0.004001562,0
20250322,3450,0.002439977,0
20250323,550,0.006389145,0
20250323,650,0.005796338,0
20250323,750,0.006652615,0
20250323,850,0.00757476,0
20250323,950,0.007838229,0
20250323,1050,0.008233434,0
20250323,1150,0.012844158,0
20250323,1250,0.02555658,0
20250323,1350,0.046238967,0
20250323,1450,0.074298511,0
20250323,1550,0.101962851,0
20250323,1650,0.112304044,0
20250323,1750,0.112435779,0
20250323,1850,0.106310104,0
20250323,1950,0.094849163,0
20250323,2050,0.074693716,0
20250323,2150,0.054604136,0
20250323,2250,0.039586352,0
20250323,2350,0.028586484,0
20250323,2450,0.022263206,0
20250323,2550,0.013436965,0
20250323,2650,0.009287314,0
20250323,2750,0.007508892,0
20250323,2850,0.005071796,0
20250323,2950,0.005005928,0
20250323,3050,0.003754446,0
20250323,3150,0.002371229,0
20250323,3250,0.001976024,0
20250323,3350,0.001317349,0
20250323,3450,0.001251482,0
20250324,550,0.004036236,0
20250324,650,0.005022872,0
20250324,750,0.006637367,0
20250324,850,0.00735492,0
20250324,950,0.009328191,0
20250324,1050,0.019104852,0
20250324,1150,0.043053189,0
20250324,1250,0.081980447,0
20250324,1350,0.110951655,0
20250324,1450,0.128711095,0
20250324,1550,0.122522199,0
20250324,1650,0.115705444,0
20250324,1750,0.091757108,0
20250324,1850,0.074087362,0
20250324,1950,0.051125661,0
20250324,2050,0.038568481,0
20250324,2150,0.023948336,0
20250324,2250,0.0199121,0
20250324,2350,0.012019015,0
20250324,2450,0.009776662,0
20250324,2550,0.007265226,0
20250324,2650,0.005650731,0
20250324,2750,0.003767154,0
20250324,2850,0.002780518,0
20250324,2950,0.001704189,0
20250324,3050,0.001345412,0
20250324,3150,0.00107633,0
20250324,3250,0.000448471,0
20250324,3350,0.000358777,0
20250324,3450,0,0
20250325,550,0.008252122,0
20250325,650,0.012417479,0
20250325,750,0.016975794,0
20250325,850,0.01823326,0
20250325,950,0.022712983,0
20250325,1050,0.032301163,0
20250325,1150,0.05375668,0
20250325,1250,0.086293618,0
20250325,1350,0.108770827,0
20250325,1450,0.119380698,0
20250325,1550,0.114900975,0
20250325,1650,0.105234203,0
20250325,1750,0.0902232,0
20250325,1850,0.065938384,0
20250325,1950,0.045661742,0
20250325,2050,0.033794404,0
20250325,2150,0.022162842,0
20250325,2250,0.01485382,0
20250325,2350,0.009038038,0
20250325,2450,0.005422823,0
20250325,2550,0.003929582,0
20250325,2650,0.00337944,0
20250325,2750,0.002043383,0
20250325,2850,0.000864508,0
20250325,2950,0.001100283,0
20250325,3050,0.000785916,0
20250325,3150,0.000550141,0
20250325,3250,0.000628733,0
20250325,3350,7.86E-05,0
20250325,3450,0.000314367,0
20250326,550,0.007123915,0
20250326,650,0.011491862,0
